"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058"
2021,"Araci","Bahia",35540,20700,20874,1532.15,1951.42,16.95,NA,5615949.54,5581600.34,34349.2,5632520.7,1341032.21,891041.92,21589.12,1024039.53,95000,26550,825550,0,0,0
2020,"Caém","Bahia",6942,547,3193,369.14,277.02,14.97,0,1326441.18,1283465.95,42975.23,1319781.49,167402.12,800074.22,15333.77,835783.41,NA,NA,NA,NA,NA,NA
2021,"Conceição do Jacuípe","Bahia",26143,1557,26280,1310.8,855.46,40.12,24.16,2627681.22,2576861.4,50819.82,2612163.55,130199.24,5879419.51,4428.31,6466748.05,0,0,0,0,0,0
2020,"Cravolândia","Bahia",3632,2763,3376,149.83,932.51,98.36,16.72,1045183.68,673846.05,371337.63,1087165.26,228830.26,9011.25,0,26187.65,NA,NA,NA,NA,NA,NA
2020,"Fátima","Bahia",16076,8000,6992,1189.95,2181.71,0,NA,3056559.91,3056556.91,2,3184996.58,711352.43,301108.42,0,348341.16,0,228725.81,228725.81,0,0,0
2021,"Ibotirama","Bahia",21621,18277,20768,1349.06,445.69,675.88,120.95,8501445.12,5206357.8,3295087.32,8916705.94,321651.77,658649.96,1288206.74,1999640.06,0,0,0,0,0,0
2018,"Igaporã","Bahia",9738,6088,8084,518.4,198.72,390,NA,720806.16,720806.16,0,1001119.66,136815.47,188168.21,2e+06,2188168.21,0,0,0,0,0,0
2019,"Iguaí","Bahia",15423,1827,15267,684.27,520.4,45.29,12.85,3010904.93,2899089.88,111815.05,3011394.73,184289.53,125155.4,0,125155.4,NA,NA,NA,NA,NA,NA
2021,"Ilhéus","Bahia",144825,97073,132864,10996.19,5805.39,4510.95,2781.56,63802737.21,43732767.56,20069969.65,59640916.44,4344583.13,3740113.01,9825204.21,15623907.53,0,0,0,0,0,0
2018,"Ipirá","Bahia",45636,3241,29214,1967.15,4203,99.89,27,8558500.67,8377959.43,180541.24,8480517.49,1224719.26,356718.49,18180293.1,22344869.19,NA,NA,NA,0,0,0
2020,"Itagi","Bahia",9516,12242,9577,441.21,113.45,0,NA,2099243.68,2064243.68,2000,1948134.56,39207.3,57814.1,0,84823.8,8000,26000,74000,0,0,0
2018,"Itagibá","Bahia",11614,2729,9269,503.96,215,95.98,40,2301159.75,1972310.03,328849.72,2357320.12,80283.15,0,0,0,NA,NA,NA,0,0,0
2018,"Itaju do Colônia","Bahia",5550,3554,5428,250.65,71,157.04,39,1258066.02,825388.92,432677.1,1255453.89,41434.22,0,0,0,NA,NA,NA,0,0,0
2020,"Jaguaquara","Bahia",41625,15885,41639,1975.52,3554.96,637.59,28.8,10588893.44,8233891.37,2355002.07,10215525.04,1116102.95,700913.57,389400.07,1239053.49,NA,NA,NA,NA,NA,NA
2017,"Laje","Bahia",5195,2951,6656,239.89,178.43,114.91,19.62,1471624.07,1037058.46,434565.61,1418311.78,54319.25,158088.3,84768.01,278868.05,NA,NA,NA,0,0,0
2018,"Pintadas","Bahia",7493,5250,5919,260.12,14,79,140,1175827.55,1175827.55,0,1062423.13,13261,0,0,0,64773,0,64773,0,0,0
