"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058","nat_jur"
2022,"Açailândia","MA",106550,1581,NA,9812.38,7972.2,50,6.19,21722026.95,21562380.28,159646.67,20828474.52,6381579.69,140741.07,0,170287.47,0,0,0,0,0,0,"Autarquia"
2021,"Açailândia","MA",122544,1581,85558,13546.61,5682.18,40,6.1,18750134.7,18565094.7,185040,16266432.68,6331659.99,222914.78,2e+05,463173.54,0,0,0,0,0,0,"Autarquia"
2014,"Água Doce do Maranhão","MA",12146,800,3286,3000,100,0,0,0,0,0,0,4000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2022,"Alto Parnaíba","MA",7075,5000,NA,1064.83,309.63,0,100,1314191.69,1314191.69,0,507175.25,195840.24,25649.18,0,31033.83,60000,50000,340000,60000,0,120000,"Administração pública direta"
2018,"Amapá do Maranhão","MA",2496,2496,5208,252,335,0,29,270000,60000,50000,245000,51700,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2016,"Amapá do Maranhão","MA",2434,2434,5152,250,200,0,25,220000,50000,40000,230000,41587.5,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2019,"Amapá do Maranhão","MA",2550,2550,5241,255,350,0,31,290000,65000,55000,252000,52000,NA,NA,NA,0,0,0,0,0,0,"Administração pública direta"
2017,"Amapá do Maranhão","MA",2465,2465,5190,251,325,0,29,250000,55000,45000,238000,51587.5,NA,NA,NA,0,0,0,NA,NA,NA,"Administração pública direta"
2012,"Arari","MA",18488,7488,17680,1000,194,0,940,725000,5e+05,225000,750000,35000,NA,NA,NA,0,0,0,0,0,0,"Autarquia"
2019,"Bacabal","MA",82996,4830,81702,4383.8,NA,0,NA,9699157.61,9500823.4,198334.21,10328630.38,2944341.17,117200,0,117200,0,0,0,0,0,0,"Autarquia"
2000,"Bacabal","MA",67357,3588,71408,5409.27,NA,NA,NA,1868717,1817170,51547,2514196,291012,316281,0,316281,NA,NA,NA,NA,NA,NA,"Autarquia"
2002,"Bacabal","MA",88788,3929,72528,5242.9,NA,0,NA,NA,2294873.16,81909.54,2621620.96,385667.18,379157.45,0,379157.45,NA,NA,NA,NA,NA,NA,"Autarquia"
2011,"Bacabal","MA",95576,7641,78328,6869,3634,333,25,5135242,5006164,129078,5303240,1433871,278494,0,278494,0,0,0,NA,NA,NA,"Autarquia"
2021,"Bacabal","MA",83502,4830,81815,4610,NA,0,NA,11929793.84,11581843.8,347950.04,9520687.74,5050661.77,0,0,0,0,0,0,0,0,0,"Autarquia"
2010,"Bacabal","MA",93281,7641,77860,6693,3229,422,24.5,4535467,4397709,137758,4683514,1403968,281330,0,281330,NA,NA,NA,NA,NA,NA,"Autarquia"
